English,BrazilianPortuguese
Could not create save file: {0},
Could not start server:,Não foi possível iniciar o servidor:
Connection Failed,Falha na conexão
Hit {0} for {1} damage!,Você acertou um(a) {0} causando {1} de dano!
You killed the {0}. Find the carcass to harvest it.,Você matou o(a) {0}. Encontre a carcaça para recolhê-la.
The carcass has already been harvested,A carcaça já foi recolhida
You cannot queue more than {0} projects at a single table.,Você não pode ter mais de {0} projetos na fila em uma única mesa.
Cannot lower the priority of other people's work orders on someone else's property.,Não é possível reduzir a prioridade das ordens de trabalho de outras pessoas estando na propriedade de outra pessoa.
Project cancelled.,O projeto foi cancelado.
Could not cancel this project: {0},Não foi possível cancelar este projeto: {0}
This {0:object} has active projects and can't be picked up,{0:object} tem projetos ativos e não pode ser coletado(a)
Specify an amount to buy first.,"Especifique uma quantidade para comprar, primeiro."
Can't have more than 100 exchanges listed.,Não é possível ter mais de 100 trocas listadas.
Can't have more than 100 holdings listed.,Não se pode ter mais de 100 propriedades listadas.
"This mint is currently disabled, check status for details.","Esta prensa de cunhagem está atualmente desativada, verifique o status para mais detalhes."
Invalid currency name.,Nome de moeda inválido.
That currency name already exists at another mint.,Este nome de moeda já existe em outra prensa de cunhagem.
{0} created the currency {1}.,{0} criou a moeda {1}.
{0} renamed currency {1} to {2}.,{0} renomeou a moeda {1} para {2}.
"This mint is currently not functional, check status for details.","Esta prensa de cunhagem não está funcionando atualmente, verifique o status para mais detalhes."
Need to give your currency a name before you can craft it.,É preciso dar um nome a sua moeda antes de criá-la.
You must craft more than zero coins.,Você deve criar mais do que zero moedas.
{0} created {1}.,{0} criou {1}.
No item on table to repair.,Nenhum item na mesa para reparar.
Cannot repair {0}.,Não é possível reparar {0}.
{0} is already at max durability.,{0} já está na durabilidade máxima.
You can't repair {0} until you learn {1}.,Você não pode reparar {0} até você aprender {1}.
"Unable to repair, please check table status.","Não é possível reparar. Por favor, verifique o status da mesa."
"Not enough {0} to complete the repair, {1} needed.","{0} insuficientes para concluir o reparo, é preciso ter {1}."
{0} repaired to maximum durability.,{0} reparado para a durabilidade máxima.
No items marked for trade.,Nenhum item marcado para negociação.
Trade failed: {0} doesn't want any more {1}.,A negociação falhou: {0} não quer mais {1}.
Trade failed: {0} wants a max of {1} {2},A troca falhou: {0} quer um máximo de {1} {2}
The owner {0} doesn't have enough currency to cover this trade.,O proprietário {0} não tem moeda suficiente para cobrir esta negociação.
{0} is now sold out of {1},{0} agora está sem estoque de {1}
You are too hungry to pull this {0}!,Você está com muita fome para puxar este(a) {0}!
No meteor to destroy.,Nenhum meteoro para destruir.
Meteor destroyed.,Meteoro destruído.
A wild meteor has appeared!,Um meteoro selvagem apareceu!
A meteor already exists!,Um meteoro já existe!
"Contract '{0}' is invalid, must fix or delete before posting another one.","O contrato '{0}' é inválido, ele deve ser corrigido ou excluído antes de postar outro."
No currency found.,Nenhuma moeda encontrada.
<Unassigned>,<Não atribuído>
That contract is too far away to accept.  Contract board is located at {0}.,Esse contrato está muito longe para ser aceito. O quadro de contrato está localizado em {0}.
Contract not accepted: cannot have more than {0} active contracts at once.,Contrato não aceito: não se pode ter mais do que {0} contratos ativos ao mesmo tempo.
Can't mark a job failed until the time has expired. {0} left.,Não é possível marcar um trabalho como falhado até que o tempo tenha expirado. {0} restantes.
{0:client name} marked your contract as failed:,{0:client name} marcou seu contrato como falhado:
Contract does not have any clauses.,Contrato não possui cláusulas.
Must give the contract a name (click icon in title bar).,Deve dar o contrato um nome (clique no ícone na barra de título).
"Contract must not be 'Auto-Accept' when containing a custom clause.  Uncheck it at the bottom of the contract, and you will have to manually approve when this contract completes.",O contrato não deve usar a opção 'Aceitar automaticamente' quando contiver uma cláusula personalizada. Desmarque isso na parte inferior do contrato e você terá que aprovar manualmente quando ele for concluído.
Put {0} in {1}.,Coloque {0} em {1}.
No items specified for container clause.,Não há itens definidos para cláusula do recipiente.
"No room at requested location, {0}.",Não há nenhuma sala na localização solicitada: {0}.
From position not specified for Build Road clause.,Posição inicial não especificada para a cláusula de Construção de Estrada.
To position not specified for Build Road clause.,Para posição não especificada para a cláusula de construção de estradas.
Same position chosen for beginning/end points of road in Build Road clause.,Mesma posição escolhida para os pontos de início/fim de uma via na cláusula de construção de estradas.
No item specified for road type.,Nenhum item especificado para o tipo de estrada.
No road type selected.,Nenhum tipo de estrada selecionado.
Road not complete. Last valid point on road detected at {0}.,Estrada incompleta. Último ponto válido da estrada detectado em {0}.
more,mais
less,menos
No property specified for Blocks clause.,Nenhuma propriedade definida para cláusula de Blocos.
No items specified for blocks on property clause.,Nenhum item especificado para blocos na cláusula de propriedade.
more than,mais que
less than,menos que
\nFound {0} at {1}.,\n{0} encontrado em {1}.
No currency specified in payment clause.,Nenhuma moeda especificada na cláusula de pagamento.
Client doesn't have {0} needed to pay.,O cliente não possui os {0} necessários para pagar.
Contractor doesn't have the needed {0} deposit specified in payment clause.,O contratante não tem o deposito de {0} necessário especificado na cláusula de pagamento.
{0} paid to {1}.,{0} pago a {1}.
{0} refunded.,{0} reembolsado(s).
No custom description set.,Nenhuma descrição personalizada definida.
{0} must be at or above {1}.,{0} deve ser igual ou superior a {1}.
property rights,direitos de propriedade
object rights,direitos de objeto
permanently,permanentemente
for the term of the contract,para o termo do contrato
contract start,início do contrato
contract completion,fim do contrato
Receive {0:rights} on {1} {2:permanent or not} upon {3:time point}.,Receba {0:rights} em {1} {2:permanent or not} até {3:time point}.
No location specified for permissions grant.,Nenhum local especificado para a concessão de permissões.
"If you give permissions at contract completion, they must be permanent.","Se você der permissões na conclusão do contrato, elas devem ser permanentes."
"Can't get permissions on property or object at {0}, may be unclaimed.","Não é possível obter permissões na propriedade ou objeto em {0}, pode não estar reivindicada."
added,adicionado
removed,removido
{0} of the following must be true: {1},{0} do seguinte deve ser verdadeiro: {1}
Harvest all {0} on the property at {1}.,Colha todos(as) os(as) {0} na propriedade em {1}.
No harvest items specified.,Nenhum item de colheita especificado.
Harvest container,Recipiente de colheita
Tree still has unharvested logs:\n{0},A árvore ainda tem troncos não coletados:\n{0}
Property still has unharvested plants: {0} at {1}.,A propriedade ainda tem plantas não colhidas: {0} em {1}.
Mow the lawn on the property at {0}.,Corte a grama na propriedade em {0}.
Nothing mowable on that property.,Nada para ceifar nessa propriedade.
Unmowed {0:species name} at {1:position}.,{0:species name} não cortada em {1:position}.
Mow Lawn,Aparar Grama
Plow {0} square meters of field on the property at {1}.,Are {0} metro(s) quadrado(s) de campo na propriedade em {1}.
Property does not cover {0} units.,Propriedade não cobre {0} unidades.
"Only {0} tilled spaces found on property, {1} needed.","Somente {0} espaço(s) arado(s) encontrado(s) na propriedade, {1} necessário(s)."
Mow,Aparar
No property specified for clause.,Nenhuma propriedade definida para a cláusula.
Debris/stumps still on property at {0}.,Ainda há detritos/tocos na propriedade em {0}.
Move items from {0} to {1}.,Mova itens de {0} para {1}.
Can't place a block there,Não pode colocar um bloco lá
No block to pick up,Nenhum bloco para pegar
That is not a clothing item,Isso não é um item de vestuário
You equipped {0},Você equipou {0}
Your {0} broke!  It will be much less efficient until repaired.,{0} quebrou! Será bem menos eficiente enquanto não for reparado(a).
You are not authorized to remove items from that.,Você não está autorizado a remover itens deste recipiente.
You are not authorized to put items into that.,Você não está autorizado a colocar itens neste recipiente.
Can't select {0} while carrying {1}.,Não é possível selecionar {0} carregando {1}.
Skill Benefits,Benefícios de Habilidade
Couldn't find any items matching {0},Não foi possível encontrar nenhum item correspondente a {0}
"Multiple items found matching, use more specific string: {0}","Itens múltiplos correspondentes encontrados, use uma cadeia de caracteres mais específica: {0}"
Cannot plant on a spot occupied by {0},Não pode plantar em um lugar ocupado por {0}
Plant already exists there.,Um planta já existe aí.
Unknown plant type: {0},Tipo de planta desconhecida: {0}
You have too many Skill Scrolls already.,Você já tem muitos Pergaminhos de Habilidade.
Only {0} can collect that,Somente {0} pode coletar isso
"Can't place there, blocked.","Não é possível colocar, está bloqueado."
This plant is dead.,Esta planta está morta.
Atmosphere:({0}),Atmosfera:({0})
Balanced Multiplier: {0},Multiplicador Balanceado: {0}
Base Gain: {0},Ganho base: {0}
Calories,Calorias
Waste,Lixo
Nutrition,Nutrição
Stomach Contents,Conteúdo do estômago
full,cheio
You are not logged in,Você não está logado
You have kicked {0},Você expulsou {0}
{0} is not online,{0} não está online
Your Steam id is {0}.,Seu Steam id é {0}.
Your SLG id is {0}.,Sua id SLG é {0}.
{0} is not logged in to a Steam account.,{0} não está conectado a uma conta Steam.
{0}'s Steam id is {1}.,O Steam id de {0} é {1}.
{0} is not logged in to an SLG account.,{0} não está conectado a uma conta SLG.
{0} World Marker,Marcador de Mundo de {0}
Located {0:distance and direction} at {1}.,Localizado em {1} a {0:distance and direction}.
Link added to clipboard.,Link copiado para a área de transferência.
Waypoint added.,Ponto de referência adicionado.
Cleared all non-global markers.,Limpado todos os marcadores não globais.
{0} set their objective: {1},{0} definiu seu objetivo como: {1}
You already own this deed.,Você já possui essa escritura.
Room had no ceiling at {0}.,Cômodo não tinha teto em {0}.
Room is flooded at {0},Cômodo está inundado em {0}
'{0}' is not a valid tier number,'{0}' não é um número de camada válido
Must be contained within a room,Deve ser contido numa sala
Contained within a room,Contido dentro de uma sala
Pressure:{0}atm,Pressão:{0}atm
Current skill rate is {0}.,A taxa de habilidade atual é {0}.
{0} has issued you a warning. {1},{0} enviou um aviso a você. {1}
You have sent a warning to {0},Você enviou um aviso para {0}
Bad elk meat?,Carne de alce ruim?
Time for some government spending!,Hora para alguns gastos do governo!
