"Could not create save file: {0}",""
"Could not start server:","Impossibile avviare il server:"
"Connection Failed","Connessione non riuscita"
"Hit {0} for {1} damage!","Hai colpito {0} per {1} danni!"
"You killed the {0}. Find the carcass to harvest it.","Hai ucciso il {0}. Trova la carcassa per raccoglierlo."
"The carcass has already been harvested","La carcassa è già stata raccolta"
"You cannot queue more than {0} projects at a single table.","Non è possibile accodare più di {0} progetti a un singolo tavolo."
"Cannot lower the priority of other people's work orders on someone else's property.","Non puoi abbassare la priorità degli ordini di lavoro di altre persone sulla proprietà di qualcun altro."
"Project cancelled.","Progetto Cancellato."
"Could not cancel this project: {0}","Non puoi annullare questo progetto: {0}"
"This {0:object} has active projects and can't be picked up","Questo {0:object} ha progetti attivi e non può essere preso"
"Specify an amount to buy first.","Specificare un importo prima di acquistare."
"Can't have more than 100 exchanges listed.","Non puoi avere più di 100 scambi elencati."
"Can't have more than 100 holdings listed.","Non puoi avere più di 100 partecipazioni quotate."
"This mint is currently disabled, check status for details.","Questa moneta è attualmente disattivata, controllare lo stato per i dettagli."
"Invalid currency name.","Nome della valuta non valido."
"That currency name already exists at another mint.","Quel nome di valuta non è valido. Esiste già una valuta con questo nome."
"{0} created the currency {1}.","{0} ha creato la valuta: {1}."
"{0} renamed currency {1} to {2}.","{0} ha rinominato la valuta {1} in{2}."
"This mint is currently not functional, check status for details.","Questa zecca non è attualmente funzionante, controlla lo stato per i dettagli."
"Need to give your currency a name before you can craft it.","È necessario dare un nome alla valuta per produrla."
"You must craft more than zero coins.","È necessario creare più di 0 monete."
"{0} created {1}.","{0} ha creato {1}."
"No item on table to repair.","Nessun elemento sul tavolo da riparare."
"Cannot repair {0}.","Non è possibile riparare {0}."
"{0} is already at max durability.","{0} è già alla massima durabilità."
"You can't repair {0} until you learn {1}.","Non è possibile riparare {0} fino a quando non impari {1}."
"Unable to repair, please check table status.","Impossibile riparare, controllare lo stato."
"Not enough {0} to complete the repair, {1} needed.","Non hai abbastanza {0} per completare il ripristino, {1} necessari."
"{0} repaired to maximum durability.","{0} è stato riparato alla durabilità massima."
"No items marked for trade.","Nessun oggetto contrassegnato per lo scambio."
"Trade failed: {0} doesn't want any more {1}.","Commercio Fallito: {0} non vuole più {1}."
"Trade failed: {0} wants a max of {1} {2}","Commercio Fallito: {0} vuole un massimo di {1} {2}"
"The owner {0} doesn't have enough currency to cover this trade.","Il Proprietario {0} non ha abbastanza denaro per concludere lo scambio."
"{0} is now sold out of {1}","{0} ha esaurito {1}"
"You are too hungry to pull this {0}!","Sei troppo affamato per tirare questo {0}!"
"No meteor to destroy.","Nessun meteorite da distruggere."
"Meteor destroyed.","Meteorite distrutto."
"A wild meteor has appeared!","Una meteora selvatica è apparsa!"
"A meteor already exists!","Un meteorite già esiste!"
"Contract '{0}' is invalid, must fix or delete before posting another one.","Il contratto '{0}' non è valido, deve essere corretto o eliminato prima di postarne un altro."
"No currency found.","Nessuna valuta trovata."
"<Unassigned>","<Non assegnato>"
"That contract is too far away to accept.  Contract board is located at {0}.","Questo contratto è troppo lontano per essere accettato. Il tabellone dei contratti si trova a {0}."
"Contract not accepted: cannot have more than {0} active contracts at once.","Contratto no accettato: non puoi avere più di {0} contrattii attivi in una volta."
"Can't mark a job failed until the time has expired. {0} left.","Non puoi segnare un lavoro come fallito fino a quando non scade il tempo. {0} rimanente."
"{0:client name} marked your contract as failed:","{0:client name} ha marcato il tuo contratto come fallito:"
"Contract does not have any clauses.","Il contratto no ha nessuna clausola."
"Must give the contract a name (click icon in title bar).","Devi dare un nome al contratto (clicca l'icona nella barra del titolo)."
"Contract must not be 'Auto-Accept' when containing a custom clause.  Uncheck it at the bottom of the contract, and you will have to manually approve when this contract completes.","Il contratto non deve essere 'Accettato in automatico' quando contenente una clausola personalizzata.  Deseleziona l'opzione nella parte inferiore del contratto, e dovrai approvarla manualmente al termine di questo contratto."
"Put {0} in {1}.","Metti {0} in {1}."
"No items specified for container clause.","Nessun elemento specificato per la clausola di contenimento."
"No room at requested location, {0}.","Nessuno spazio presso località richiesta, {0}."
"From position not specified for Build Road clause.","Posizione di partenza non specificata per la clausola Costruzione Strada."
"To position not specified for Build Road clause.","Posizione d'arrivo non specificata per la clausola Costruzione Strada."
"Same position chosen for beginning/end points of road in Build Road clause.","Stessa posizione scelta per i punti di inizio/fine della strada nella clausola di costruzione strada."
"No item specified for road type.","Nessun elemento specificato per tipo di strada."
"No road type selected.","Nessun tipo di strada selezionato."
"Road not complete. Last valid point on road detected at {0}.","Strada non completa. Ultimo punto valido sulla strada rilevato a {0}."
"more","di Più"
"less","meno"
"No property specified for Blocks clause.","Nessuna proprietà specificata per la clausola del Blocco."
"No items specified for blocks on property clause.","Nessun elemento specificato per blocchi sulla clausola di proprietà."
"more than","più di"
"less than","meno di"
"\nFound {0} at {1}.","\nTrovato {0} a {1}."
"No currency specified in payment clause.","Nessuna valuta specificata nella clausola di pagamento."
"Client doesn't have {0} needed to pay.","Il cliente non ha i {0} necessari per pagare."
"Contractor doesn't have the needed {0} deposit specified in payment clause.","Il contraente non ha il deposito necessario di {0} specificato nella clausola di pagamento."
"{0} paid to {1}.","{0} pagato a {1}."
"{0} refunded.","{0} rimborsato."
"No custom description set.","Nessuna descrizione personalizzata utilizzata."
"{0} must be at or above {1}.","{0} deve essere maggiore o uguale a {1}."
"property rights","diritti di proprietà"
"object rights","diritti oggetto"
"permanently","permanentemente"
"for the term of the contract","per i termini di contratto"
"contract start","contratto iniziato"
"contract completion","completamento del contratto"
"Receive {0:rights} on {1} {2:permanent or not} upon {3:time point}.","Ricevere {0:rights} su {1} {2:permanent or not} in {3:time point}."
"No location specified for permissions grant.","Nessun luogo specificato per la concessione del permesso."
"If you give permissions at contract completion, they must be permanent.","Se si assegnano autorizzazioni al completamento del contratto, devono essere permanenti."
"Can't get permissions on property or object at {0}, may be unclaimed.","Non è possibile ottenere autorizzazioni sulla proprietà o oggetto a {0}, potrebbe essere non rivendicato."
"added","aggiunto"
"removed","rimosso"
"{0} of the following must be true: {1}","{0} delle seguenti devono essere vere: {1}"
"Harvest all {0} on the property at {1}.","Raccogli tutti i {0} nella proprietà a {1}."
"No harvest items specified.","Nessun oggetto per la raccolta specificato."
"Harvest container","Contenitore di raccolta"
"Tree still has unharvested logs:\n{0}","L'albero ha ancora rami non raccolti:\n{0}"
"Property still has unharvested plants: {0} at {1}.","La proprietà ha ancora piante non raccolte: {0} a {1}."
"Mow the lawn on the property at {0}.","Falcia il prato sulla proprietà a {0}."
"Nothing mowable on that property.","Niente da falciare in questa proprietà."
"Unmowed {0:species name} at {1:position}.","{0:species name} non falciato a {1:position}."
"Mow Lawn","Falcia il prato"
"Plow {0} square meters of field on the property at {1}.","Ara {0} metri quadrati di campo sulla proprietà a {1}."
"Property does not cover {0} units.","La proprietà non copre {0} unità."
"Only {0} tilled spaces found on property, {1} needed.","Solo {0} spazi arati sulla proprietà, ne servono {1}."
"Mow","Falcia"
"No property specified for clause.","Nessuna proprietà specificata per clausola."
"Debris/stumps still on property at {0}.","Detriti/ceppi ancora sulla proprietà a {0}."
"Move items from {0} to {1}.","Sposta elementi da {0} a {1}."
"Can't place a block there","Non è possibile posizionare un blocco lì"
"No block to pick up","Nessun blocco da raccogliere"
"That is not a clothing item","Quello non è un capo d'abbigliamento"
"You equipped {0}","Hai Equipaggiato {0}"
"Your {0} broke!  It will be much less efficient until repaired.","Il tuo {0} è rotto! Sarà meno efficiente finché non lo ripari."
"You are not authorized to remove items from that.","Non sei autorizzato a rimuovere oggetti da lì."
"You are not authorized to put items into that.","Non sei Autorizzato a mettere oggetti al suo interno."
"Can't select {0} while carrying {1}.","Non puoi selezionare {0} mentre stai trasportando {1}."
"Skill Benefits","Benefici abilità"
"Couldn't find any items matching {0}","Non è stato possibile trovare un oggetto simile a {0}"
"Multiple items found matching, use more specific string: {0}","Molteplici oggetti simili trovati, utilizza un parametro di ricerca più specifico: {0}"
"Cannot plant on a spot occupied by {0}","Non puoi piantare in un punto occupato da {0}"
"Plant already exists there.","Una pianta è già presente qui."
"Unknown plant type: {0}","Tipo di pianta ignoto: {0}"
