Context,English,French
,Could not create save file: {0},Impossible de créer un fichier de sauvegarde : {0}
,Could not start server:,Impossible de démarrer le serveur :
,Connection Failed,Connexion échouée
,Hit {0} for {1} damage!,{0} touché : {1} dégât(s) !
,You killed the {0}. Find the carcass to harvest it.,Vous avez tué un(e) {0}. Trouvez la carcasse à récolter.
,The carcass has already been harvested,La carcasse a déjà été ramassée
,You cannot queue more than {0} projects at a single table.,Vous ne pouvez pas mettre en file d’attente plus de {0} projets à un seul établi.
,Cannot lower the priority of other people's work orders on someone else's property.,Impossible de baisser la priorité des commandes d'autres personnes sur la propriété de quelqu'un d’autre.
,Project cancelled.,Projet annulé.
,Could not cancel this project: {0},Impossible d'annuler ce projet : {0}
,This {0:object} has active projects and can't be picked up,Des projets sont en cours sur votre {0:object} et ne peut donc pas être ramassé(e)
,Specify an amount to buy first.,Indiquez d'abord la quantité à acheter.
,Can't have more than 100 exchanges listed.,Impossible de répertorier plus de 100 échanges.
,Can't have more than 100 holdings listed.,Impossible de répertorier plus de 100 exploitations.
,"This mint is currently disabled, check status for details.",Cet hôtel de la monnaie est actuellement désactivé. Vérifiez son statut pour plus de détails.
,Invalid currency name.,Nom de monnaie invalide.
,That currency name already exists at another mint.,Ce nom de monnaie existe déjà dans un autre hôtel de monnaie.
,{0} created the currency {1}.,{0} a créé la monnaie {1}.
,{0} renamed currency {1} to {2}.,{0} a renommé la monnaie {1} en {2}.
,"This mint is currently not functional, check status for details.",Cet hôtel de la monnaie n'est actuellement pas fonctionnel. Vérifiez son statut pour plus de détails.
,Need to give your currency a name before you can craft it.,Vous devez donner un nom à votre monnaie avant de pouvoir la créer.
,You must craft more than zero coins.,Vous devez fabriquer au moins une pièce.
,{0} created {1}.,{0} a créé {1}.
,No item on table to repair.,Aucun objet à réparer sur la table.
,Cannot repair {0}.,Réparation impossible {0}.
,{0} is already at max durability.,{0} est déjà au maximum de sa durabilité.
,You can't repair {0} until you learn {1}.,Vous ne pouvez pas réparer {0} avant d'avoir appris {1}.
,"Unable to repair, please check table status.","Impossible de réparer, veuillez vérifier le statut de la table."
,"Not enough {0} to complete the repair, {1} needed.","Pas assez de {0} pour terminer la réparation, {1} manquants."
,{0} repaired to maximum durability.,{0} réparé a la durabilité maximale.
