English,Arabic
Could not create save file: {0},تعذر إنشاء ملف حفظ: {0}
Could not start server:,تعذر تشغيل الخادم:
Connection Failed,فشل الإتصال
Hit {0} for {1} damage!,ضرب {0} للحصول على {1} من الأضرار!
You killed the {0}. Find the carcass to harvest it.,لقد قتلت {0}. اعثر على الذبيحة لحصادها.
The carcass has already been harvested,تم حصاد الجثة بالفعل
You cannot queue more than {0} projects at a single table.,لا يمكنك طابور أكثر من {0} مشروع في طاولة واحدة.
Cannot lower the priority of other people's work orders on someone else's property.,لا يمكن خفض أولوية أوامر العمل للآخرين على ممتلكات شخص آخر.
Project cancelled.,تم إلغاء المشروع.
Could not cancel this project: {0},تعذر إلغاء هذا المشروع: {0}
This {0:object} has active projects and can't be picked up,هذا {0:object} لديه مشاريع نشطة ولا يمكن التقاطه
Specify an amount to buy first.,حدد كمية للشراء أولاً.
Can't have more than 100 exchanges listed.,لا يمكن عرض أكثر من 100 صفقة.
Can't have more than 100 holdings listed.,لا يمكن عرض أكثر من 100 احتياطي.
"This mint is currently disabled, check status for details.",هذا المصنع معطل حالياً، تحقق من الحالة للتفاصيل.
Invalid currency name.,اسم العملة غير صالح.
That currency name already exists at another mint.,يوجد اسم عملة مماثل بالفعل في مصنع آخر.
{0} created the currency {1}.,{0} قام بإنشاء عملة {1}.
{0} renamed currency {1} to {2}.,قام {0} بتغيير اسم العملة من {1} إلى {2}.
"This mint is currently not functional, check status for details.",هذا المصنع غير فعال حالياً، تحقق من الحالة للتفاصيل.
Need to give your currency a name before you can craft it.,يجب إعطاء العملة التي تريد إنتاجها اسمًا قبل البدء في الصياغة.
You must craft more than zero coins.,يجب عليك صنع أكثر من صفيحة واحدة.
{0} created {1}.,{0} قام بإنشاء {1}.
No item on table to repair.,لا يوجد عنصر على الطاولة للإصلاح.
Cannot repair {0}.,لا يمكن إصلاح {0}.
{0} is already at max durability.,{0} متيقن من حالته القصوى بالفعل.
You can't repair {0} until you learn {1}.,لا يمكنك إصلاح {0} حتى تتعلم {1}.
"Unable to repair, please check table status.",تعذر الإصلاح، يرجى التحقق من حالة الطاولة.
"Not enough {0} to complete the repair, {1} needed.",لا يوجد ما يكفي من {0} لإتمام الإصلاح، يلزم {1}.
{0} repaired to maximum durability.,{0} تم إصلاحها للحصول على أقصى متانة.
No items marked for trade.,لا توجد عناصر معلمة للتجارة.
Trade failed: {0} doesn't want any more {1}.,فشل التجارة: {0} لا يرغب في المزيد من {1}.
Trade failed: {0} wants a max of {1} {2},فشل التجارة: {0} يرغب في الحد الأقصى لـ {1} {2}.
The owner {0} doesn't have enough currency to cover this trade.,المالك {0} ليس لديه ما يكفي من العملة لتغطية هذه التجارة.
{0} is now sold out of {1},تم بيع {0} الآن من {1}.
You are too hungry to pull this {0}!,أنت جائع جدًا لسحب هذه {0}!
