English,Russian
Could not create save file: {0},Не удалось создать файл сохранения: {0}
Could not start server:,Не удалось запустить сервер:
Connection Failed,Ошибка подключения
Hit {0} for {1} damage!,Попадание по {0} нанесло {1} урона!
You killed the {0}. Find the carcass to harvest it.,Вы убили {0}. Заберите тушу.
The carcass has already been harvested,Тушу уже забрали
You cannot queue more than {0} projects at a single table.,Нельзя начать более чем {0} проектов на одном столе.
Cannot lower the priority of other people's work orders on someone else's property.,Нельзя понизить приоритет работы других людей на чужой собственности.
Project cancelled.,Проект отменен.
Could not cancel this project: {0},Нельзя отменить этот проект: {0}
This {0:object} has active projects and can't be picked up,Этот {0:object} используется в действующем проекте и не может быть взят
Specify an amount to buy first.,Укажите количество товара перед покупкой.
Can't have more than 100 exchanges listed.,Нельзя иметь более 100 обменов валюты в одном списке.
Can't have more than 100 holdings listed.,Нельзя иметь более 100 валютных резервов в списке.
"This mint is currently disabled, check status for details.",Этот пресс для чеканки монет сейчас отключен. Для подробностей проверьте состояние.
Invalid currency name.,Недопустимое название валюты.
That currency name already exists at another mint.,Такое название валюты уже существует на другом прессе для чеканки монет.
{0} created the currency {1}.,{0} создал валюту {1}.
{0} renamed currency {1} to {2}.,{0} переименовывает валюту {1} в {2}.
"This mint is currently not functional, check status for details.",Этот пресс для чеканки монет сейчас не работает. Для подробностей проверьте состояние.
Need to give your currency a name before you can craft it.,"Нужно назвать вашу валюту, прежде чем печатать её."
You must craft more than zero coins.,Нужно изготовить хотя бы одну монету.
{0} created {1}.,{0} создал {1}.
No item on table to repair.,Нет вещей для ремонта на столе.
Cannot repair {0}.,Нельзя отремонтировать {0}.
{0} is already at max durability.,{0} имеет максимальную прочность.
You can't repair {0} until you learn {1}.,"Вы не можете ремонтировать {0} до тех пор, пока не выучите {1}."
"Unable to repair, please check table status.","Не удаётся отремонтировать. Пожалуйста, проверьте состояние стола."
"Not enough {0} to complete the repair, {1} needed.","Не хватает {0} для завершения ремонта, Нужно {1}."
{0} repaired to maximum durability.,{0} ремонтируется до максимальной прочности.
No items marked for trade.,Не выбран товар для торговли.
Trade failed: {0} doesn't want any more {1}.,Сделка не удалась: {0} не нужно больше {1}.
Trade failed: {0} wants a max of {1} {2},"Сделка не удалась: {0} нужно не больше, чем {1} {2}"
The owner {0} doesn't have enough currency to cover this trade.,Владельцу магазина {0} недостаёт валюты для оплаты этой сделки.
{0} is now sold out of {1},В {0} полностью распродан товар {1}
You are too hungry to pull this {0}!,Вы не можете тянуть {0} т.к. слишком голодны!
No meteor to destroy.,Астероида для уничтожения не обнаружено.
Meteor destroyed.,Астероид уничтожен.
A wild meteor has appeared!,Появился дикий астероид!
A meteor already exists!,Астероид уже существует!
"Contract '{0}' is invalid, must fix or delete before posting another one.","Договор '{0}' недействителен, необходимо исправить или удалить его перед публикацией нового."
No currency found.,Валюта не найдена.
<Unassigned>,<Не назначен>
That contract is too far away to accept.  Contract board is located at {0}.,"Договор слишком далеко, чтобы его принять.  Его доска расположена в {0}."
Contract not accepted: cannot have more than {0} active contracts at once.,Договор не принят: нельзя иметь более чем {0} одновременно действующих договоров.
Can't mark a job failed until the time has expired. {0} left.,"Нельзя объявить о расторжении договора, пока не истечёт срок. {0} осталось."
{0:client name} marked your contract as failed:,{0:client name} расторгает с вами договор:
Contract does not have any clauses.,Нет никаких условий в договоре.
Must give the contract a name (click icon in title bar).,Нужно дать название договору (кликните на иконке в заголовке).
"Contract must not be 'Auto-Accept' when containing a custom clause.  Uncheck it at the bottom of the contract, and you will have to manually approve when this contract completes.","Договор, содержащий пользовательские условия, не может быть 'Автоматически принимаемым'. Снимите флажок в нижней части договора. Вы должны будете вручную подтвердить выполнение договора."
Put {0} in {1}.,Положите {0} в {1}.
No items specified for container clause.,В условии для хранилища не указаны объекты.
"No room at requested location, {0}.","Нет помещения в указанных координатах, {0}."
From position not specified for Build Road clause.,"Не указано, откуда строить дорогу."
To position not specified for Build Road clause.,"Не указано, куда строить дорогу."
Same position chosen for beginning/end points of road in Build Road clause.,Указана одна и та же точка для начала и конца строительства дороги.
No item specified for road type.,Не определён материал дороги.
No road type selected.,Не выбран тип дороги.
Road not complete. Last valid point on road detected at {0}.,Дорога не закончена. Последний действительный участок дороги расположен в {0}.
more,больше
less,меньше
No property specified for Blocks clause.,Не выбрана территория для условия о блоках.
No items specified for blocks on property clause.,Не выбраны объекты для условия о блоках в собственности.
more than,больше чем
less than,меньше чем
\nFound {0} at {1}.,\nНайдено {0} на {1}.
No currency specified in payment clause.,Не выбрана валюта в условии об оплате.
Client doesn't have {0} needed to pay.,У клиента недостаёт {0} для оплаты.
Contractor doesn't have the needed {0} deposit specified in payment clause.,"Подрядчик не имеет нужных {0} для залога, указанного в условии об оплате."
{0} paid to {1}.,{0} выплачено {1}.
{0} refunded.,{0} возвращено.
No custom description set.,Описание не добавлено.
{0} must be at or above {1}.,{0} должно быть равно или выше {1}.
property rights,права собственности
object rights,право владения
permanently,постоянный
for the term of the contract,действия договора
contract start,принятия договора
contract completion,завершения договора
Receive {0:rights} on {1} {2:permanent or not} upon {3:time point}.,Получить {0:rights} на {1} на срок {2:permanent or not} с момента {3:time point}.
No location specified for permissions grant.,Не определено место назначения для предоставления разрешений.
"If you give permissions at contract completion, they must be permanent.","Если вы даёте разрешения на срок действия договора, то они должны быть постоянными."
"Can't get permissions on property or object at {0}, may be unclaimed.","Не удаётся получить разрешения на владение или объект в {0}. Возможно, освобождено."
added,добавлено
removed,удалено
{0} of the following must be true: {1},{0} из следующего должно быть выполнено: {1}
Harvest all {0} on the property at {1}.,"Соберите весь урожай {0} во владениях, расположенных на {1}."
No harvest items specified.,"Не выбрано, что собирать."
Harvest container,Ёмкость для урожая
Tree still has unharvested logs:\n{0},Дерево всё ещё содержит несобранные брёвна:\n{0}
Property still has unharvested plants: {0} at {1}.,В этих владениях всё ещё есть несобранные растения: {0} в {1}.
Mow the lawn on the property at {0}.,Скосить лужайку во владении на {0}.
Nothing mowable on that property.,Нечего косить в этих владениях.
Unmowed {0:species name} at {1:position}.,Не скошено {0:species name} в {1:position}.
Mow Lawn,Скосить лужайку
Plow {0} square meters of field on the property at {1}.,Вспахать {0} квадратных метров поля на территории {1}.
Property does not cover {0} units.,Владение не охватывает {0} единицы.
