"STRINGID","Context","English","Gibberish","French","Spanish","German","Korean","BrazillianPortuguese","SimplifedChinese","Russian","Italian","Portuguese","Hungarian","Japanese","Norwegian","Polish","Dutch","Romanian","Danish","Czech","Swedish","Ukrainian","Greek","Arabic","Vietnamese","Turkish"
"DEFAULT","","Could not start server:","","Impossible de démarrer le serveur :","No se pudo iniciar el servidor:","Konnte den Server nicht starten:","서버를 시작할 수 없습니다:","Não foi possível iniciar o servidor:","无法启动服务器：","Не удалось запустить сервер:","Impossibile avviare il server:","Não foi possível iniciar o servidor:","Nem sikerült elindítani a szervert:","サーバーを起動できませんでした:","Kan ikke starte server:","Nie udało się uruchomić serwera:","Server kon niet worden opgestart:","Nu s-a pornit serverul:","Kan ikke starte serveren:","Server nelze spustit:","Det gick inte att starta servern:","Не вдалося запустити сервер:","Δεν μπόρεσε να να ξεκινήσει ο server:","تعذر تشغيل الخادم:","Server không chạy:","Sunucu başlatılamadı:"
"DEFAULT","","Connection Failed","","Connexion échouée","Fallo de Conexión","Verbindung fehlgeschlagen","연결 실패","Falha na conexão","连接失败","Ошибка подключения","Connessione Fallita","Falha na Ligação","Sikertelen kapcsolódás","接続失敗","Tilkobling mislyktes","Nie można połączyć","Verbinding maken mislukt","Conexiune eșuată","Forbindelsen mislykket","Připojení selhalo","Anslutning misslyckades","Підключення не вдалося","Η σύνδεση απέτυχε","فشل الإتصال","Kết nối không thành công","Bağlantı Başarısız"
"DEFAULT","","Hit {0} for {1} damage!","","{0} touché : {1} dégât(s) !","Has golpeado a {0}, causando {1} de daño","{0} für {1} Schaden getroffen!","{0}을(를) 때려서 {1} 데미지를 입혔습니다!","Você acertou um(a) {0} causando {1} de dano!","命中 {0} 造成 {1} 伤害！","Попадание по {0} нанесло {1} урона!","Hai colpito {0} per {1} danni!","Acertastes {0} causando {1} de dano!","A(z) {1}, {0} sebzést szenvedett el!","{0} に {1} のダメージ！","{0} truffet for {1} i skade!","Uderz {0} i zadaj {1} obrażeń!","Je raakte {0} voor {1} levenspunten!","Lovește {0} pentru {1} deteriorare!","Ramte {0} for {1} skade!","Dal jsi {0} {1} poškození!","Hit {0} för {1} skada!","{0} отримує {1} шкоди!","Πάτησε το {0} για καταστροφή του {1}!","ضرب {0} بـ{1} ضرر!","Nhấn {0} cho {1} mạng!","{1} hasar için {0} vuruş yap!"
"DEFAULT","","You killed the {0}. Find the carcass to harvest it.","","Vous avez tué un(e) {0}. Trouvez la carcasse à récolter.","Has matado a {0}. Encuentra el cuerpo y aprovéchalo.","Du hast {0} getötet. Finde den Kadaver, um ihn aufzusammeln.","{0}을(를) 죽이셨습니다. 사체를 찾아 수확하세요.","Você matou o(a) {0}. Encontre a carcaça para recolhê-la.","你摧毁了 {0}。快去收获吧。","Вы убили {0}. Заберите тушу.","Hai ucciso il {0}. Trova la carcassa per raccoglierla.","Mataste o {0}. Procura a carcaça para a coletar.","Megöltél egy {0} -t. Találd meg a hulláját.","あなたは {0} を殺した。死体を見つけて採取してください。","Du drepte en {0}. Finn skrotten for å innhøste den.","Zabiłeś {0}. Znajdź tuszę aby ją zebrać.","Je hebt een {0} gedood. Vind het karkas om het op te halen.","You killed the {0}. Find the carcass to harvest it.","Du dræbte {0}. Find kadaveret for at samle det op.","Zabil jsi {0}. Najdi mršinu, abys ji sebral.","Du dödade {0}. Hitta kadavret för att skörda den.","Ви вбили {0}. Знайдіть та розберіть тушу.","Σκότωσες ένα {0}. Βρες το κουφάρι για να το μαζέψεις.","لقد قتلت {0}. اعثر على الذبيحة لحصادها.","Bạn đã giết {0}. Tìm thêm vài cái xác nữa để thu hoạch nào.","{0} canlısını öldürdün. Yağmalamak için cesedi bul."
"DEFAULT","","The carcass has already been harvested","","La carcasse a déjà été ramassée","Ya has aprovechado los restos de este animal","Der Kadaver wurde bereits durchsucht","사체가 이미 수확 되었습니다.","A carcaça já foi recolhida","遗骸已经被收获","Тушу уже забрали","La carcassa è già stata raccolta","A carcaça já foi coletada","A hulla már fel van szedve","死体はすでに採取されました。","Skrotten har allerede blitt innhøstet","Tusza została już zebrana.","Dit karkas is al opgepakt","Carcasa a fost deja recoltată","Kadaveret er allerede blevet opsamlet","Mršina už byla sebrána","Kadavret har redan skördats","Тушу вже розібрано","Το κουφάρι έχει ήδη μαζευτεί","تم حصاد الجثة بالفعل","Cái xác đã được thu hoạch.","Ceset halihazırda yağmalandı"
"DEFAULT","","You cannot queue more than {0} projects at a single table.","","Vous ne pouvez pas mettre en file d’attente plus de {0} projets à un seul établi.","No puede hacer más de {0} proyectos en una sola mesa.","Du kannst nicht mehr als {0} Aufträge pro Tisch auf die Warteliste setzen.","한 작업대 당 {0} 이상의 프로젝트를 예약할 수 없습니다.","Você não pode ter mais de {0} projetos na fila em uma única mesa.","你不能在单张工作台中安排超过 {0} 个项目。","Нельзя начать более чем {0} проектов на одном столе.","Non puoi accodare più di {0} progetti a un singolo tavolo.","Não pode ter mais de {0} projetos em fila única numa tabela.","Nem állíthatsz be {0} -nél több projektet egy asztalnál.","ひとつの作業台で {0} 以上のプロジェクトはキューに追加できません。","Du kan ikke sette mer enn {0} prosjekter i kø på et arbeidsbord.","Nie możesz zakolejkować więcej niż {0} projektów w pojedyńczym stole.","Je kan niet meer dan {0} projecten zetten aan deze tafel.","You cannot queue more than {0} projects at a single table.","Du kan ikke igangsætte mere end {0} projekter ved et enkelt bord.","Nemůžete přidat do fronty více než {0} projektů v jednom stole.","Du kan inte köa mer än {0} projekt på ett bord.","Ви не можете ставити в чергу на одному столі більше {0} проектів.","Δεν μπορείς να προσθέσεις στην ουρά περισσότερα από {0} αντικείμενα στο ίδιο τραπέζι.","لا يمكنك جدولة اكثر من {0} مشروع على طاولة واحدة.","Bạn không thể nối hàng dài hơn {0} dự án ở mỗi duy nhất một bàn.","Tek bir masada {0} seferden fazla işlem yapamazsın."
"DEFAULT","","Cannot lower the priority of other people's work orders on someone else's property.","","Impossible de baisser la priorité des commandes d'autres personnes sur la propriété de quelqu'un d’autre.","No se puede bajar la prioridad de órdenes de trabajo de otras personas en la propiedad de otra persona.","Die Priorität der Arbeitsaufträge von anderen Personen an fremdem Eigentum kann nicht geändert werden.","다른 사람의 사유지에서 다른 사람의 작업 주문의 중요도를 낮추실 수 없습니다.","Não é possível reduzir a prioridade das ordens de trabalho de outras pessoas estando na propriedade de outra pessoa.","不能在他人土地中降低他人订单的优先度。","Нельзя понизить приоритет работы других людей на чужой собственности.","Impossibile abbassare la priorità degli ordini di lavoro di altre persone sulla proprietà altrui.","Não é possível diminuir a prioridade das tarefas dos outros em propriedade que não te pertence.","Idegen telken a prioritást mások munkarendjén nem lehet csökkenteni.","他人の所有物で他の人の作業の優先順位を下げることはできません。","Kan ikke senke prioriteten til andres arbeidsordre på andres eiendom.","Nie możesz zmniejszyć ważności zleceń innych osób na czyjejś działce.","Je kan niet de prioriteit verlagen op iemand anders eigendom.","Nu se poate reduce prioritatea ordinelor de muncă ale altor oameni pe proprietatea altcuiva.","Kan ikke sænke prioriteten af andres arbejdsordre på en andens ejendom.","Nemůžete snížit prioritu pracovních rozkazů na pozemku někoho jiného.","Kan inte ändra ordningen på andras byggbeställningar på andras egendom.","Не можна знизити пріоритет роботи інших людей у чужій власності.","Δεν μπορείς να χαμηλώσεις την προτεραιότητα της δουλειάς άλλων παικτών στην ιδιοκτησία κάποιου άλλου.","لا يمكن تخفيض اهمية عمل الناس على حساب شخص اخر.","Không thể hạ thấp ưu tiên về yêu cầu công việc của người khác, trên tài sản của ai đó.","Başka birinin alanındayken, diğer insanların iş önceliğini düşüremezsin."
"DEFAULT","","Project cancelled.","","Projet annulé.","Proyecto cancelado.","Auftrag abgebrochen.","프로젝트가 취소 되었습니다.","O projeto foi cancelado.","项目已取消。","Проект отменен.","Progetto annullato.","Projeto cancelado.","Projekt törölve.","プロジェクトがキャンセルされました。","Prosjekt avsluttet.","Projekt anulowany.","Project geannuleerd.","Proiect anulat.","Projekt afbrudt.","Projekt zrušen.","Projekt avbrutet.","Проект скасовано.","Το πρότζεκτ ακυρώθηκε.","تم الغاء المشروع.","Dự án bị huỷ.","Proje iptal edildi."
"DEFAULT","","Could not cancel this project: {0}","","Impossible d'annuler ce projet : {0}","No se puedo cancelar este proyecto: {0}","Dieser Auftrag konnte nicht abgebrochen werden: {0}","이 프로젝트를 취소할 수 없습니다: {0}","Não foi possível cancelar este projeto: {0}","无法取消此项目： {0}","Нельзя отменить этот проект: {0}","Non puoi annullare questo progetto: {0}","Não é possível cancelar este projeto: {0}","Nem állíthatod le ezt a projektet: {0}","このプロジェクトはキャンセルできません: {0}","Kunne ikke avbryte dette prosjektet: {0}","Nie udało się anulować tego projektu: {0}","Kon dit project niet annuleren: {0}","Could not cancel this project: {0}","Kan ikke afbryde dette projekt: {0}","Nelze zrušit tento projekt: {0}","Kunde inte avbryta projektet: {0}","Неможливо скасувати цей проект: {0}","Δεν μπορείς να ακυρώσεις το έργο: {0}","تعذر إلغاء هذا المشروع: {0}","Không thể huỷ bỏ dự án này: {0}","Şu proje iptal edilemedi: {0}"
"DEFAULT","","This {0:object} has active projects and can't be picked up","","Des projets sont en cours sur votre {0:object} et ne peut donc pas être ramassé(e)","Este {0:object} tiene proyectos activos y no pueden ser recogidos","{0:object} hat aktive Aufträge und kann nicht aufgenommen werden","{0:object}에는 활성화 된 프로젝트들이 있어 회수하지 못 합니다.","{0:object} tem projetos ativos e não pode ser coletado(a)","该 {0:object} 有活动项目而无法拾起","Этот {0:object} используется в действующем проекте и не может быть взят","Questo {0:object} ha progetti attivi e non è selezionabile","Este {0:object} possui projetos ativos e não pode ser escolhido","A {0:object} dolgozik és nem lehet felszedni.","この {0:object} はプロジェクトが進行中なため破壊できません。","Dette {0:object} har aktive prosjekter og kan ikke plukkes opp","{0:object} ma aktywne projekty i nie może być zabrany.","Deze {0:object} heeft actieve projecten en kan niet worden opgepakt","Acest obiect are proiecte active și nu poate fi preluat","{0:object} har aktive projekter og kan ikke samles op","Tento {0:object} má aktivní projekty a nelze být sebrán","{0:object} har pågående projekt och kan inte plockas upp","Предмет «{0:object}» належить до активного проекту і його не може взяти","Αυτό το {0:object} έχει ενεργά έργα και δεν μπορεί να μαζευτεί","هذا الـ{0:object} لديه مشاريع نشطة ولا يمكن استعماله","{0:đồ vật} này có dự án đang chạy và không thể nhặt lên được.","{0:object} birimi aktif projede olduğundan alınamaz"
