English,SimplifedChinese
Could not create save file: {0},
Could not start server:,无法启动服务器：
Connection Failed,连接失败
Hit {0} for {1} damage!,命中 {0} 造成 {1} 伤害！
You killed the {0}. Find the carcass to harvest it.,你击败了 {0}。快去收获吧。
The carcass has already been harvested,已收获遗骸
You cannot queue more than {0} projects at a single table.,你不能在单张工作台中安排超过 {0} 个项目。
Cannot lower the priority of other people's work orders on someone else's property.,不能在他人土地中降低他人订单的优先度。
Project cancelled.,项目已取消。
Could not cancel this project: {0},无法取消此项目： {0}
This {0:object} has active projects and can't be picked up,该 {0:object} 有活动项目而无法拾起
Specify an amount to buy first.,先指定要购买的数量。
Can't have more than 100 exchanges listed.,无法拥有超过100笔交易。
Can't have more than 100 holdings listed.,无法拥有超过100块土地。
"This mint is currently disabled, check status for details.",该铸币厂目前已关闭，检查状态以查看详细信息。
Invalid currency name.,无效的货币名称。
That currency name already exists at another mint.,货币名称已存在于另一个铸币厂。
{0} created the currency {1}.,{0} 创建了货币 {1}。
{0} renamed currency {1} to {2}.,{0} 将货币 {1} 重命名为 {2}。
"This mint is currently not functional, check status for details.",该铸币厂目前没有运作，检查状态以查看详细信息。
Need to give your currency a name before you can craft it.,在你生产货币之前必须给它命名。
You must craft more than zero coins.,你必须制作至少一个硬币。
{0} created {1}.,{0} 创建了 {1}。
No item on table to repair.,工作台上没有物品来维修。
Cannot repair {0}.,无法修复 {0}。
{0} is already at max durability.,{0} 已处于最大耐久度。
You can't repair {0} until you learn {1}.,在学习 {1} 之前，你无法修复 {0}。
"Unable to repair, please check table status.",无法修理，请检查工作台状态。
"Not enough {0} to complete the repair, {1} needed.",不够 {0} 来完成维修，需要 {1}。
{0} repaired to maximum durability.,{0} 已修理至最大耐久度。
No items marked for trade.,没有标记交易物品。
Trade failed: {0} doesn't want any more {1}.,交易失败： {0} 不再需要 {1}。
Trade failed: {0} wants a max of {1} {2},交易失败：{0} 需要最多 {1} {2}
The owner {0} doesn't have enough currency to cover this trade.,所有者 {0} 没有足够的货币以完成这次交易。
{0} is now sold out of {1},{0} 的 {1} 现已售罄。
You are too hungry to pull this {0}!,你太饿而无法拉动这个 {0}！
No meteor to destroy.,没有可摧毁的流星。
Meteor destroyed.,流星已摧毁。
A wild meteor has appeared!,一颗失控的流星出现了！
A meteor already exists!,流星已经存在！
"Contract '{0}' is invalid, must fix or delete before posting another one.",合同 '{0}' 无效，必须修复或删除后才能发布另一条。
No currency found.,找不到货币。
<Unassigned>,<未分配>
That contract is too far away to accept.  Contract board is located at {0}.,合同太远而无法接受。合同板位于 {0}。
Contract not accepted: cannot have more than {0} active contracts at once.,合同未能接受: 无法同时接受超过 {0} 份激活的合同。
Can't mark a job failed until the time has expired. {0} left.,在到期之前不能标记任务失败。剩余时间 {0}。
{0:client name} marked your contract as failed:,{0:client name} 已将你的合同标记为失败:
Contract does not have any clauses.,合同没有任何条款。
Must give the contract a name (click icon in title bar).,必须给合同一个名字 (点击标题栏中的图标)。
"Contract must not be 'Auto-Accept' when containing a custom clause.  Uncheck it at the bottom of the contract, and you will have to manually approve when this contract completes.",当包含一个自定义条款时，合同不能被'自动接受'。在合同底部取消选中它，你得在合同完成时手动通过。
Put {0} in {1}.,把 {0} 放进 {1}。
No items specified for container clause.,没有指定集装箱条款。
"No room at requested location, {0}.",请求的位置没有空间，{0}。
From position not specified for Build Road clause.,未指定建造道路条款的开始位置。
To position not specified for Build Road clause.,未指定建造道路条款的结束位置。
Same position chosen for beginning/end points of road in Build Road clause.,选择给建造道路条款的 开始/结束 点为同一个位置。
No item specified for road type.,没有指定道路类型。
