English,Dutch
Could not create save file: {0},Kan opslagbestand niet maken: {0}
Could not start server:,Server kon niet worden opgestart:
Connection Failed,Verbinding maken mislukt
Hit {0} for {1} damage!,Je raakte {0} voor {1} levenspunten!
You killed the {0}. Find the carcass to harvest it.,Je hebt een {0} gedood. Vind het karkas om het op te halen.
The carcass has already been harvested,Dit karkas is al opgepakt
You cannot queue more than {0} projects at a single table.,Je kan niet meer dan {0} projecten zetten aan deze tafel.
Cannot lower the priority of other people's work orders on someone else's property.,Je kan niet de prioriteit verlagen op iemand anders eigendom.
Project cancelled.,Project geannuleerd.
Could not cancel this project: {0},Kon dit project niet annuleren: {0}
This {0:object} has active projects and can't be picked up,Deze {0:object} heeft actieve projecten en kan niet worden opgepakt
Specify an amount to buy first.,Specificeer eerst een aantal dat je wil kopen.
Can't have more than 100 exchanges listed.,Kan niet meer dan 100 uitwisselingen open hebben staan.
Can't have more than 100 holdings listed.,Kan niet meer dan 100 stukken land hebben.
"This mint is currently disabled, check status for details.","Deze muntenpers is momenteel uitgeschakeld, Controleer de status voor meer informatie."
Invalid currency name.,Ongeldige muntsoort naam.
That currency name already exists at another mint.,Die muntsoort bestaat al bij een ander munthuis.
{0} created the currency {1}.,{0} heeft de muntsoort {1} gemaakt.
{0} renamed currency {1} to {2}.,{0} heeft de muntsoort hernoemd van {1} naar {2}.
"This mint is currently not functional, check status for details.","Dit munthuis werkt momenteel niet, bekijk de status voor meer informatie."
Need to give your currency a name before you can craft it.,Je moet je valuta eerst een naam geven voordat je ze kan maken.
You must craft more than zero coins.,Je moet meer dan nul munten maken.
{0} created {1}.,{0} heeft {1} gemaakt.
No item on table to repair.,Er is geen voorwerp op de werkplaats om te repareren.
Cannot repair {0}.,{0} kan niet worden gerepareerd.
{0} is already at max durability.,{0} is al op maximale duurzaamheid.
You can't repair {0} until you learn {1}.,Je kan {0} niet repareren totdat je {1} geleerd hebt.
"Unable to repair, please check table status.","Kan niet repareren, controleer de tafel status."
"Not enough {0} to complete the repair, {1} needed.",Niet genoeg {0} om reparatie te voltooien. Er is {1} nodig.
{0} repaired to maximum durability.,{0} is gerepareerd tot maximale duurzaamheid.
No items marked for trade.,Geen artikelen gemarkeerd om te verhandelen.
Trade failed: {0} doesn't want any more {1}.,Handel mislukt: {0} wil geen {1} meer.
Trade failed: {0} wants a max of {1} {2},Handel mislukt: {0} wil een maximum of {1} {2}.
The owner {0} doesn't have enough currency to cover this trade.,De eigenaar {0} heeft niet genoeg geld voor deze ruil.
{0} is now sold out of {1},{0} heeft geen {1} meer.
You are too hungry to pull this {0}!,Je bent te hongerig om {0} te trekken!
No meteor to destroy.,Geen meteoor om kapot te maken.
Meteor destroyed.,Meteoor vernietigd.
A wild meteor has appeared!,Er is een nieuwe meteoriet verschenen!
A meteor already exists!,Er bestaat al een meteoor!
"Contract '{0}' is invalid, must fix or delete before posting another one.","Contract '{0}' is niet goed, je moet deze fixen op deleten voordat je een andere kan maken."
No currency found.,Geen muntsoort gevonden.
<Unassigned>,<niet-toegewezen>
That contract is too far away to accept.  Contract board is located at {0}.,Dit contract is te ver weg om te kunnen accepteren. Het contract bureau is gelegen op {0}.
Contract not accepted: cannot have more than {0} active contracts at once.,Contract niet geaccepteerd: je kan niet meer dan {0} actieve contracten tegelijkertijd hebben.
Can't mark a job failed until the time has expired. {0} left.,Taak kan niet als mislukt gemarkeerd worden totdat deze verlopen is. {0} over.
{0:client name} marked your contract as failed:,{0:client name} heeft jouw contract gemarkeerd als mislukt:
Contract does not have any clauses.,Contract heeft geen clausules.
Must give the contract a name (click icon in title bar).,Het contract moet een naam hebben (Klik het icoon in de titel balk).
"Contract must not be 'Auto-Accept' when containing a custom clause.  Uncheck it at the bottom of the contract, and you will have to manually approve when this contract completes.",Het contract mag niet automatisch geaccepteerd worden wanneer deze een aangepaste clausule bevat. Uncheck dit onderaan het contract. Je zult het handmatig moeten goedkeuren wanneer dit contract is voltooid.
Put {0} in {1}.,Zet {0} in {1}.
No items specified for container clause.,Geen items gespecificeerd voor container clausule.
"No room at requested location, {0}.","Er is geen ruimte op de aangevraagde locatie, {0}."
From position not specified for Build Road clause.,Startpositie is niet gespecificeerd in de Bouw Weg clausule.
To position not specified for Build Road clause.,Eindpositie is niet gespecificeerd in de Bouw Weg clausule.
Same position chosen for beginning/end points of road in Build Road clause.,De gekozen posities voor het start en eindpunt van de Bouw Weg clausule zijn hetzelfde.
No item specified for road type.,Geen item dat geschrikt is voor wegtype.
No road type selected.,Geen weg type geselecteerd.
Road not complete. Last valid point on road detected at {0}.,De weg is niet compleet. Laatst geldig punt van de weg op {0} gedetecteerd.
more,meer
less,minder
No property specified for Blocks clause.,Geen eigendom opgegeven voor Blok clausule.
No items specified for blocks on property clause.,Geen items gespecificeerd voor eigendom clausule.
more than,meer dan
less than,minder dan
\nFound {0} at {1}.,\n{0} gevonden bij {1}.
No currency specified in payment clause.,Geen valuta opgegeven in betalingsclausule.
Client doesn't have {0} needed to pay.,Klant heeft geen {0} benodigd om te betalen.
Contractor doesn't have the needed {0} deposit specified in payment clause.,Aannemer beschikt niet over de benodigde storting van {0} zoals gespecificeerd in de betalingsclausule.
{0} paid to {1}. ,{0} betaald aan {1}. 
{0} refunded.,{0} terugbetaald.
No custom description set.,Geen beschrijving ingesteld.
{0} must be at or above {1}.,{0} moet gelijk zijn of hoger dan {1}.
property rights,eigendomsrechten
object rights,object rechten
permanently,voorgoed
for the term of the contract,voor de duur van het contract
contract start,contract start
contract completion,contract voltooid
Receive {0:rights} on {1} {2:permanent or not} upon {3:time point}.,{0:rights} ontvangen op {1} {2:permanent or not} op {3:time point}.
No location specified for permissions grant.,Geen locatie opgegeven om een machtiging te verlenen.
"If you give permissions at contract completion, they must be permanent.","Als u machtigingen bij voltooiing van het contract geeft, moeten ze permanent zijn."
"Can't get permissions on property or object at {0}, may be unclaimed.","Kan geen machtigingen vinden op eigendom of object op {0}, het is wellicht niet opgeëist."
added,toegevoegd
removed,verwijderd
{0} of the following must be true: {1},{0} van het volgende moet voldaan worden: {1}
Harvest all {0} on the property at {1}.,Oogst alle {0} op {1} z'n eigendom.
No harvest items specified.,Er zijn geen oogst items gespecifiseerd.
Harvest container,Oogst container
Tree still has unharvested logs:\n{0},Deze boom heeft nog zoveel hout: \n {0}
Property still has unharvested plants: {0} at {1}.,Eigendom heeft nog ongeoogste planten: {0} op {1}.
Mow the lawn on the property at {0}.,Maai het gras op het eigendom op {0}.
Nothing mowable on that property.,Er is niks te maaien op dat eigendom.
Unmowed {0:species name} at {1:position}.,Ongemaaide {0:species name} op {1:position}.
Mow Lawn,Maai het gras
Plow {0} square meters of field on the property at {1}.,Ploeg {0} vierkante meters van het veld op eigendom bij {1}.
Property does not cover {0} units.,Eigendom is niet {0} groot.
"Only {0} tilled spaces found on property, {1} needed.","Alleen {0} omgeploegde plaatsen gevonden op eigendom, Heeft {1} nodig."
Mow,Maaien
No property specified for clause.,Geen eigendom opgegeven voor clausule.
Debris/stumps still on property at {0}.,Puin/stompen nog op eigendom op {0}.
Move items from {0} to {1}.,Verplaats voorwerpen van {0} naar {1}.
Can't place a block there,Kan hier geen blok plaatsen
No block to pick up,Geen blok om op te pakken
That is not a clothing item,Dat is geen kledingstuk
You equipped {0},Je hebt {0} uitgerust
Your {0} broke!  It will be much less efficient until repaired.,Uw {0} brak! Het is minder efficiënt tot het is gerepareerd.
You are not authorized to remove items from that.,Je hebt geen toestemming om items hieruit te verwijderen.
You are not authorized to put items into that.,Je hebt geen toestemming om items toe te voegen.
Can't select {0} while carrying {1}.,"Kan {0} niet selecteren, terwijl je {1} draagt."
Skill Benefits,Voordelen van vaardigheden
Couldn't find any items matching {0},Kan geen voorwerp vinden die overeenkomt met {0}
"Multiple items found matching, use more specific string: {0}","Meerdere voorwerpen gevonden die overeen komen, gebruik meer specifieke woorden voor {0}"
Cannot plant on a spot occupied by {0},Kan niet planten op de plek dat is bezet door {0}
Plant already exists there.,Plant bestaat al.
Unknown plant type: {0},Onbekend plant type: {0}
You have too many Skill Scrolls already.,Je hebt teveel vaardigheids brieven.
Only {0} can collect that,Alleen {0} kan dat oppakken
"Can't place there, blocked.","Plaatsen niet mogelijk, geblokkeerd."
This plant is dead.,Deze plant is dood.
Atmosphere:({0}),Atmosfeer:({0})
Balanced Multiplier: {0},Gebalanceerde vermenigvuldiger: {0}
Base Gain: {0},Basis verdiensten: {0}
Calories,Caloriën
Waste,Vuilnis
Nutrition,Voedingswaarde
Stomach Contents,Maaginhoud
full,vol
You are not logged in,Je bent niet ingelogd
You have kicked {0},Je hebt {0} gekickt
{0} is not online,{0} is niet online
Your Steam id is {0}.,Je Steam-id is {0}.
Your SLG id is {0}.,Je SLG-id is {0}.
{0} is not logged in to a Steam account.,{0} is niet ingelogd op een Steamaccount.
{0}'s Steam id is {1}.,Het Steam-id van {0} is {1}.
{0} is not logged in to an SLG account.,{0} is niet ingelogd op een SLG-account.
{0} World Marker,{0} Wereld Marker
Located {0:distance and direction} at {1}.,Gelegen op {0:distance and direction} bij {1}.
Link added to clipboard.,Link gekopieerd.
Waypoint added.,Waypoint toegevoegd.
Cleared all non-global markers.,Alle niet-globale markeringen gewist.
{0} set their objective: {1},{0} heeft zijn/haar doel gesteld: {1}
You already own this deed.,U bezit deze akte al.
Room had no ceiling at {0}.,De kamer had geen plafond op {0}.
Room is flooded at {0},De kamer is overstroomd op {0}
'{0}' is not a valid tier number,'{0}' is geen geldig gelaagd getal
Must be contained within a room,Moet zich in een ruimte bevinden
Contained within a room,Maakt deel uit van een kamer
Pressure:{0}atm,Druk:{0}atm
Current skill rate is {0}.,Huidig vaardigheidsniveau is {0}.
{0} has issued you a warning. {1},{0} heeft u een waarschuwing gegeven. {1}
You have sent a warning to {0},Je hebt een waarschuwing gestuurd naar {0}
Bad elk meat?,Slechte eland vlees?
Time for some government spending!,Tijd voor wat overheidsuitgaven!
Gabe has made it rain.,Gabe heeft het laten regenen.
You gave {0} skillpoints to {1},U gaf {0} skillpoints aan {1}
