"Could not create save file: {0}","Konnte den Speicherstand nicht erstellen: {0}"
"Could not start server:","Konnte Server nicht starten:"
"Connection Failed","Verbindung fehlgeschlagen"
"Hit {0} for {1} damage!","{0} mit {1} Schaden getroffen!"
"You killed the {0}. Find the carcass to harvest it.","Du ein {0} getötet. Finde den Kadaver, um ihn aufzusammeln."
"The carcass has already been harvested","Der Kadaver wurde bereits aufgesammelt"
"You cannot queue more than {0} projects at a single table.","Du kannst nicht mehr als {0} Aufträge pro Tisch auf die Warteliste setzen."
"Cannot lower the priority of other people's work orders on someone else's property.","Die Priorität von Aufträgen anderer Personen auf fremdem Eigentum kann nicht geändert werden."
"Project cancelled.","Auftrag abgebrochen."
"Could not cancel this project: {0}","Dieser Auftrag konnte nicht abgebrochen werden: {0}"
"This {0:object} has active projects and can't be picked up","{0:object} hat aktive Aufträge und kann nicht aufgenommen werden"
"Specify an amount to buy first.","Gib zuerst eine Kaufmenge an."
"Can't have more than 100 exchanges listed.","Es sind nicht mehr als 100 Wechsel möglich."
"Can't have more than 100 holdings listed.","Es können nicht mehr als 100 Grundstücke gelistet sein."
"This mint is currently disabled, check status for details.","Diese Münzprägemaschine ist zur Zeit deaktiviert, prüfe den Status für weitere Details."
"Invalid currency name.","Ungültiger Währungsname."
"That currency name already exists at another mint.","Währungsname existiert bereits bei einer anderen Münzprägemaschine."
"{0} created the currency {1}.","{0} hat die Währung {1} erstellt."
"{0} renamed currency {1} to {2}.","{0} hat die Währung {1} in {2} umbenannt."
"This mint is currently not functional, check status for details.","Diese Münzprägemaschine funktioniert zur Zeit nicht, prüfe den Status für mehr Details."
"Need to give your currency a name before you can craft it.","Du musst der Währung einen Namen geben, bevor du sie fertigen kannst."
"You must craft more than zero coins.","Du musst mindestens eine Münze herstellen."
"{0} created {1}.","{0} erstellte {1}."
"No item on table to repair.","Es befindet sich kein Gegenstand zum Reparieren auf dem Tisch."
"Cannot repair {0}.","{0} kann nicht repariert werden."
"{0} is already at max durability.","{0} verfügt bereits über maximale Haltbarkeit."
"You can't repair {0} until you learn {1}.","Du kannst {0} nicht reparieren, bevor du {1} gelernt hast."
"Unable to repair, please check table status.","Reparatur nicht möglich, prüfe den Status des Tisches."
"Not enough {0} to complete the repair, {1} needed.","Nicht genügend {0}, für die Reparatur. Es werden {1} benötigt."
"{0} repaired to maximum durability.","{0} wurde repariert und verfügt nun über maximale Haltbarkeit."
"No items marked for trade.","Keine Gegenstände zum Handeln ausgewählt."
"Trade failed: {0} doesn't want any more {1}.","Handel fehlgeschlagen: {0} möchte nicht noch mehr {1}."
"Trade failed: {0} wants a max of {1} {2}","Handel fehlgeschlagen: {0} möchte maximal {1} {2}"
"The owner {0} doesn't have enough currency to cover this trade.","Der Besitzer {0} hat nicht genügend Währung, um diesen Handel abzuschließen."
"{0} is now sold out of {1}","Bei {0} sind jetzt {1} ausverkauft"
"You are too hungry to pull this {0}!","Du bist zu hungrig, um {0} zu ziehen!"
"No meteor to destroy.","Kein Meteor zum Zerstören."
"Meteor destroyed.","Meteor zerstört."
"A wild meteor has appeared!","Ein wilder Meteor ist erschienen!"
"A meteor already exists!","Ein Meteor ist bereits vorhanden!"
"Contract '{0}' is invalid, must fix or delete before posting another one.","Auftrag '{0}' ist ungültig und muss korrigiert oder gelöscht werden, bevor du einen weiteren veröffentlichst."
"No currency found.","Keine Währung gefunden."
"<Unassigned>","<Nicht zugewiesen>"
"That contract is too far away to accept.  Contract board is located at {0}.","Dieser Auftrag ist zu weit entfernt, um angenommen zu werden. Das Anschlagsbrett befindet sich bei {0}."
"Contract not accepted: cannot have more than {0} active contracts at once.","Auftrag wurde nicht angenommen: Es können nicht mehr als {0} Aufträge gleichzeitig aktiv sein."
"Can't mark a job failed until the time has expired. {0} left.","Der Auftrag kann nicht als gescheitert erklärt werden, bevor die Zeit um ist. {0} verbleibend."
"{0:client name} marked your contract as failed:","{0:client name} hat den Auftrag als gescheitert erklärt:"
"Contract does not have any clauses.","Der Auftrag enthält keine Klauseln."
"Must give the contract a name (click icon in title bar).","Gib dem Auftrag einen Namen (klicke auf das Symbol in der Titelleiste)."
"Contract must not be 'Auto-Accept' when containing a custom clause.  Uncheck it at the bottom of the contract, and you will have to manually approve when this contract completes.","Auftrag darf nicht auf 'automatische Bestätigung' gestellt sein, wenn er eine benutzerdefinierte Klausel enthält. Deaktiviere diese Option unten und bestätige manuell, sobald dieser Auftrag abgeschlossen wurde."
"Put {0} in {1}.","Lege {0} in {1}."
"No items specified for container clause.","Keine Gegenstände für die Behälterklausel bestimmt."
"No room at requested location, {0}.","Kein Platz an der erwünschten Stelle, {0}."
"From position not specified for Build Road clause.","Anfangspunkt nicht angegeben in Straßenbauklausel."
"To position not specified for Build Road clause.","Endpunkt nicht angegeben in Straßenbauklausel."
"Same position chosen for beginning/end points of road in Build Road clause.","Gleiche Position für Anfangs- und Endpunkt der Straße in Straßenbau-Klausel gewählt."
"No item specified for road type.","Kein Element für Straßentyp angegeben."
"No road type selected.","Kein Straßentyp ausgewählt."
"Road not complete. Last valid point on road detected at {0}.","Die Straße ist nicht vollständig. Letzten gültigen Punkt bei {0} erkannt."
"more","mehr"
"less","weniger"
"No property specified for Blocks clause.","Kein Grundstück für Blockklausel angegeben."
"No items specified for blocks on property clause.","Es wurden keine Einträge für Blöcke in der Grundstücksklausel angegeben."
"more than","mehr als"
"less than","weniger als"
"\nFound {0} at {1}.","\n {0} bei {1} gefunden."
"No currency specified in payment clause.","Keine Währung in Zahlungsklausel angegeben."
"Client doesn't have {0} needed to pay.","Auftraggeber hat nicht {0}, um bezahlen zu können."
"Contractor doesn't have the needed {0} deposit specified in payment clause.","Auftragnehmer hat nicht das im Vertrag geforderte Guthaben von {0} hinterlegt."
"{0} paid to {1}.","{0} gezahlt an {1}."
"{0} refunded.","{0} erstattet."
"No custom description set.","Keine benutzerdefinierte Beschreibung festgelegt."
"{0} must be at or above {1}.","{0} muss mindestens {1} sein."
"property rights","Eigentumsrechte"
"object rights","Objektrechte"
"permanently","dauerhaft"
"for the term of the contract","für die Laufzeit des Auftrags"
"contract start","Auftragsbeginn"
"contract completion","Auftragsabschluss"
"Receive {0:rights} on {1} {2:permanent or not} upon {3:time point}.","{0:rights} an {1} {2:permanent or not} um {3:time point} erhalten.\n \nRequest Context"
"No location specified for permissions grant.","Kein Ort angegeben für Berechtigungen."
"If you give permissions at contract completion, they must be permanent.","Wenn du Rechte bei der Auftragsvergabe vergibst, müssen diese unbefristet sein."
"Can't get permissions on property or object at {0}, may be unclaimed.","Berechtigungen auf Eigentum oder Objekt bei {0} kann nicht erhalten werden, es könnte nicht beansprucht sein."
"added","hinzugefügt"
"removed","entfernt"
"{0} of the following must be true: {1}","{0} der Folgenden müssen wahr sein: {1}"
"Harvest all {0} on the property at {1}.","Sammle alle {0} auf dem Grundstück bei {1}."
"No harvest items specified.","Keine Erntegegenstände spezifiziert."
"Harvest container","Erntebehälter"
"Tree still has unharvested logs:\n{0}","Der Baum hat noch:\n{0} Holzstämme zum aufsammeln"
"Property still has unharvested plants: {0} at {1}.","Auf dem Grundstück befinden sich immer noch nicht geerntete Pflanzen: {0} bei {1}."
"Mow the lawn on the property at {0}.","Mähe den Rasen auf dem Grundstück von {0}."
"Nothing mowable on that property.","Es gibt nichts zum Mähen auf dem Grundstück."
"Unmowed {0:species name} at {1:position}.","{0:species name} ist ungemäht bei {1:position}."
"Mow Lawn","Mähe Rasen"
"Plow {0} square meters of field on the property at {1}.","Pflüge {0} Quadratmeter auf dem Grundstück bei {1}."
"Property does not cover {0} units.","Das Grundstück ist kleiner als {0} Einheiten."
"Only {0} tilled spaces found on property, {1} needed.","Nur {0} gepflügte Felder auf dem Grundstück gefunden, es werden aber {1} benötigt."
"Mow","Mähen"
"No property specified for clause.","Kein Grundstück in der Klausel spezifiziert."
"Debris/stumps still on property at {0}.","Baumrückstände/Stümpfe sind noch immer auf dem Grundstück bei {0}."
"Move items from {0} to {1}.","Bewege Gegenstände von {0} nach {1}."
"Can't place a block there","Kann Block dort nicht setzen"
"No block to pick up","Kein Block zum Aufheben"
"That is not a clothing item","Das ist kein Kleidungsstück"
"You equipped {0}","Du hast {0} ausgerüstet"
"Your {0} broke!  It will be much less efficient until repaired.","{0} ist zerbrochen! Viel ineffizienter, bis zur Reparatur."
"You are not authorized to remove items from that.","Du bist nicht berechtigt, Gegenstände hier heraus zu nehmen."
"You are not authorized to put items into that.","Du bist nicht berechtigt, Gegenstände hier herein zu legen."
"Can't select {0} while carrying {1}.","Kann {0} nicht auswählen, während du {1} trägst."
"Skill Benefits","Vorteile durch Fertigkeiten"
"Couldn't find any items matching {0}","Es konnten keine passenden Gegenstände zu ""{0}"" gefunden werden"
"Multiple items found matching, use more specific string: {0}","Es wurden mehrere zutreffende Gegenstände gefunden, bitte nutze einen detaillierteren Text: {0}"
"Cannot plant on a spot occupied by {0}","Boden bereits durch {0} belegt"
"Plant already exists there.","Pflanze existiert dort bereits."
"Unknown plant type: {0}","Unbekannter Pflanzentyp:{0}"
"You have too many Skill Scrolls already.","Du hast bereits zu viele Fertigkeitsschriftrollen."
"Only {0} can collect that","Nur {0} kann das aufsammeln"
"Can't place there, blocked.","Dies kann hier nicht platziert werden."
"This plant is dead.","Diese Pflanze ist tot."
"Atmosphere:({0})","Atmosphäre: ({0})"
"Balanced Multiplier: {0}","Ausgewogenheitsmultiplikator:{0}"
"Base Gain: {0}","Basisfaktor:{0}"
"Calories","{0}"
"Waste","Abfall"
"Nutrition","Ernährung"
"Stomach Contents","Mageninhalt"
"full","voll"
"You are not logged in","Du bist nicht angemeldet"
"You have kicked {0}","Du hast {0} gekickt"
"{0} is not online","{0} ist nicht online"
"Your Steam id is {0}.","Deine Steam-ID lautet {0}."
"Your SLG id is {0}.","Deine SLG-ID lautet {0}."
"{0} is not logged in to a Steam account.","{0} ist nicht auf einem Steamkonto eingeloggt."
"{0}'s Steam id is {1}.","{0}s Steam-ID lautet {1}."
"{0} is not logged in to an SLG account.","{0} ist nicht auf einem SLG-Konto eingeloggt."
"{0} World Marker","{0} Wegpunkt"
"Located {0:distance and direction} at {1}.","{0:distance and direction} bei {1} gefunden."
"Link added to clipboard.","Link wurde kopiert."
"Waypoint added.","Wegpunkt hinzugefügt."
"Cleared all non-global markers.","Alle nicht-globalen Wegpunkte wurden gelöscht."
"{0} set their objective: {1}","{0} hat sich als Ziel gesetzt: {1}"
"You already own this deed.","Dir gehört diese Besitzurkunde bereits."
"Room had no ceiling at {0}.","Raum hatte keine Decke bei {0}."
"Room is flooded at {0}","Raum ist überflutet bei {0}"
"'{0}' is not a valid tier number","'{0}' ist keine gültige Stufennummer"
"Must be contained within a room","Muss sich innerhalb eines Raumes befinden"
"Contained within a room","Enthalten innerhalb eines Raumes"
"Pressure:{0}atm","Druck:{0}atm"
"Current skill rate is {0}.","Aktuelle Rate der Fertigkeitspunkte ist {0}."
"{0} has issued you a warning. {1}","{0} hat dich verwarnt. {1}"
"You have sent a warning to {0}","Du hast eine Warnung an {0} gesendet"
"Bad elk meat?","Schlechtes Elchfleisch?"
"Time for some government spending!","Zeit für einige Staatsausgaben!"
"Gabe has made it rain.","Gabe hat es regnen lassen."
"You gave {0} skillpoints to {1}","Du hast {0} Fertigkeitspunkte an {1} gegeben"
"Atmosphere added.","Atmosphäre hinzugefügt."
"You gave {0} plots to {1}.","Du hast {0} Parzellen an {1} gegeben."
"You gained {0} plots.","Du hast {0} Parzellen erhalten."
"With great power comes great responsibility","Mit großer Macht kommt große Verantwortung"
"Selected item doesn't have durability.","Der ausgewählte Gegenstand hat keine Haltbarkeit."
"Durability set to {0}","Haltbarkeit auf {0} gesetzt"
"Finished in {0}","Fertig in {0}"
"{0} commands:","{0} Befehle:"
"Online: {0}",""
"You are a {0}","Du bist ein {0}"
"{0} is not a world layer.","{0} ist keine Weltebene."
"Missing Location","Ort fehlt"
"Can't add tutorial item to inventory, no room.","Kann Tutorialgegenstand nicht zum Inventar hinzufügen, nicht genug Platz."
"Building Blocks...","Blöcke werden gebaut..."
"{0} has no access rights for {1} at {2}.","{0} hat keine Zugriffsrechte für {1} bei {2}."
"{0} not selected.","{0} nicht ausgewählt."
"{0} cannot accept items of type {1}.","{0} kann Gegenstände des Typs {1} nicht akzeptieren."
"Need to add {0} to {1}.","Es muss {0} zu {1} hinzugefügt werden."
"Button pressed.","Taste gedrückt."
"meters","Meter"
"Plant","Pflanzen"
"This plant is dead. {0}","Diese Pflanze ist tot. {0}"
"Calories Available: {0}","Kalorien verfügbar: {0}"
"Calories Required per Organism: {0}","Kalorien benötigt pro Organismus: {0}"
"Amount of {0} Available: {1}","Verfügbare Menge von{0}: {1}"
"Log is not ready for harvest.  Remove all branches first.","Der Stamm kann noch nicht eingesammelt werden. Entferne zuerst alle Äste."
"Log is too large to pick up, slice into smaller pieces first.","Dieser Stamm ist zu groß, zerkleinere ihn zuerst."
"You are already carrying {0:items} and cannot pick up {1:items}.","Du trägst bereits {0:items} und kannst {1:items} nicht aufnehmen."
"You must obtain authorization to shoot {0}.","Du musst die Berechtigung zum Schießen von {0} erhalten."
"Axe","Axt"
"Pickaxe","Spitzhacke"
"Scythe","Sense"
"Shovel","Schaufel"
"Iron Axe","Eisenaxt"
"Iron Hammer","Eisenhammer"
"Iron Hoe","Eisenhacke"
"Iron Pickaxe","Eisenspitzhacke"
"Iron Shovel","Eisenschaufel"
